PLAYER,ROUND,COURSE,HOLE_1,HOLE_2,HOLE_3,HOLE_4,HOLE_5,HOLE_6,HOLE_7,HOLE_8,HOLE_9,OUT,HOLE_10,HOLE_11,HOLE_12,HOLE_13,HOLE_14,HOLE_15,HOLE_16,HOLE_17,HOLE_18,IN,TOTAL,POS
Maxwell Tjoa,2,Lake,5,4,4,5,4,4,5,3,4,38,4,4,5,3,3,3,5,5,3,35,73.0,
Tyler Watts,1,Lake,5,4,4,5,5,4,6,4,4,41,3,4,4,3,3,3,5,5,4,34,75.0,
Tyler Watts,2,Ocean,4,3,4,4,3,4,4,4,5,35,3,5,4,4,5,4,4,4,4,37,72.0,
Mike Calef,1,Lake,5,4,4,4,5,4,4,2,4,36,5,5,5,3,4,3,5,5,4,39,75.0,
Mike Calef,2,Ocean,5,4,4,4,3,4,5,3,3,35,3,5,4,4,4,5,4,3,5,37,72.0,
Matt Fast,1,Lake,5,5,3,4,4,4,4,3,5,37,4,4,4,3,5,4,5,4,4,37,74.0,
Matt Fast,2,Ocean,4,3,7,5,2,4,5,4,5,39,3,4,4,4,4,4,4,3,4,34,73.0,
Matthew Dodd-Berry,1,Lake,5,4,3,4,5,4,2,4,4,35,3,4,5,4,5,2,5,4,5,37,72.0,
Matthew Dodd-Berry,2,Ocean,4,4,4,5,4,3,4,3,4,35,4,5,4,5,5,4,4,4,5,40,75.0,
Jack Wieler,1,Lake,4,5,5,4,5,4,5,3,4,39,3,4,5,3,4,3,5,5,4,36,75.0,
Jack Wieler,2,Ocean,6,3,4,4,4,4,3,4,4,36,3,5,6,4,4,4,4,3,3,36,72.0,
Ashton McCulloch,1,Lake,5,4,3,5,5,5,4,4,4,39,4,5,4,2,4,3,6,4,5,37,76.0,
Ashton McCulloch,2,Ocean,3,3,4,5,3,4,4,4,4,34,4,4,3,4,5,5,5,3,4,37,71.0,
Bryce Wheeler,1,Ocean,4,4,5,5,3,3,4,4,4,36,3,5,4,4,4,5,4,2,6,37,73.0,
Bryce Wheeler,2,Lake,5,4,4,4,5,5,4,2,4,37,4,4,4,3,5,3,5,5,4,37,74.0,
Zach Kingsland,1,Ocean,4,3,5,5,3,4,4,4,5,37,3,5,3,3,3,5,5,3,5,35,72.0,
Zach Kingsland,2,Lake,5,4,4,5,4,4,3,3,5,37,4,4,4,5,4,4,4,5,4,38,75.0,
Christian Johnson,1,Lake,6,4,3,4,4,5,5,3,4,38,4,4,5,2,4,3,5,4,4,35,73.0,
Christian Johnson,2,Ocean,4,4,5,5,3,4,6,3,3,37,4,5,4,3,5,4,4,3,5,37,74.0,
William McDonald,1,Lake,5,5,3,4,4,4,4,3,4,36,4,4,5,2,3,3,5,5,5,36,72.0,
William McDonald,2,Ocean,5,3,4,5,3,4,5,3,4,36,3,4,4,4,5,4,4,5,6,39,75.0,
Anh Minh Nguyen,1,Ocean,5,3,4,5,3,4,5,4,3,36,3,6,4,4,4,5,3,3,3,35,71.0,
